,doc,RegId,RegIdConf,approval_textract,approval_tesseract,approval_table_lookup,twenty_textract,twenty_tesseract,twenty_table_lookup,history
0,,,,,,,,,,
1,CUR6470-01_2283_05132023_0001133576-C001185582-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,98.29122866996765,Y0020_WCM_79520E_CINTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
2,CUR6470-01_2283_05132023_0001133576-C001185587-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,98.532456904068,Y0020_WCM_79520E_CINTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
3,CUR6470-01_2283_05132023_0001133576-C001185590-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,81.9716792132499,Y0020_WCM_79520E_CINTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTEMAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTEMAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
4,CUR6470-01_2283_05132023_0001133586-C001185929-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,92.63117885658265,Y0020_WCM_79520E_CINTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
5,CUR6470-01_2283_05132023_0001133586-C001185952-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,91.61652997589111,Y0020_WCM_79520E_CINTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
6,CUR6470-01_2283_05132023_0001133586-C001185956-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,84.79176298024052,0020_WCM_79520E_CIMERMAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is 0020_WCM_79520E_CIMERMAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
7,CUR6470-01_2283_05132023_0001133586-C001185966-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,93.20738693237305,Y0020_WCM_79520E_CINTERNALAPPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E 2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CINTERNALAPPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E 2022']"
8,CUR6470-01_2283_05132023_0001133589-C001186086-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,97.83612354049683,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
9,CUR6470-01_2283_05132023_0001133591-C001186126-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,94.60797565635681,Y0020_WCM_79520E_CI INTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020 WCM 79520E_C INTERNAL APPROVED 07282021,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,NA2WCMEOB79520E_2022,"['Tesseract app code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app code is Y0020_WCM_79520E_CI INTERNAL APPROVED 07282021', 'Tesseract twenty code is NA2WCMEOB79520E_2022', 'Textract twenty code is NA2WCMEOB79520E_2022']"
