,app_code_type,twenty_code_type,textract_conf_app_code,textract_conf_twenty_code,tesseract_conf_app_code,tesseract_conf_twenty_code,doc,RegId,RegIdConf,app_code_textract,app_code_tesseract,app_code_table_lookup,twenty_code_textract,twenty_code_tesseract,twenty_code_table_lookup,app_code_fallback,twenty_code_fallback,approval_back_up,twenty_back_up,history
24,recovery,100-match-mod-spaces,95.67,,100.0,,CUR6470-01_0465_05032023_0001127597-C001257117-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,92.89897155761719,Y0020_WCM_79520E C INTERNAL APPROVED 07282021,Y0020_WCM_79520E C INTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E C INTERNAL APPROVED 07282021', 'Textract app_code is Y0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E 2022', 'Textract twenty_code is NA2WCMEOB79520E_2022']"
25,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0465_05032023_0001127597-C001257123-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,93.539794921875,,,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app_code is Y0020_WCM_79520E_CI INTERNAL APPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E_2022', 'Textract twenty_code is NA2WCMEOB79520E_2022']"
26,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0524_05042023_0001128328-C001295659-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,67.57675170898438,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOBS6038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
27,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0524_05042023_0001128328-C001295675-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,56.86281204223633,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is YQ020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOBS6038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
28,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0526_05042023_0001128347-C001296662-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,82.4189453125,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOB56038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
29,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0526_05042023_0001128347-C001296666-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,60.582542419433594,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOBS6038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
30,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_053_04242023_0001121892-C001080452-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,69.58852459016394,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
31,100-match-mod-spaces,fallback-1,,,,,CUR6470-01_0572_05052023_0001129473-C001319099-00-bottom.tif,Y0020_WCM_106335M_C INTERNAL APPROVED 07292022 NA3WCMLTR21990E_0000,77.4771957397461,,,Y0020_WCM_106335M_C INTERNAL APPROVED 07292022,,,,,NA3WCMLTR21990E_0000,,,"['Tesseract app_code is Y0020_WCM_106335M_C INTERNALAPPROVED07292022', 'Textract app_code is Y0020_WCM_106335M_C INTERNALAPPROVED07292022', 'Tesseract twenty_code_fallback is NA3WCMLTR21990E_0', 'Textract twenty_code_fallback is NA3WCMLTR21990E_O']"
32,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0572_05052023_0001129473-C001319115-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,77.16923076923078,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERALA APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOQOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
33,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0605_05082023_0001130620-C001334576-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,58.77142857142858,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOBO00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
34,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0618_05082023_0001130648-C001340220-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,65.36795806884766,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOBS6038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
35,100-match-mod-spaces,table,,,,,CUR6470-01_0618_05082023_0001130656-C001340412-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,60.68390655517578,,,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app_code is Y70020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E_2022', 'Textract twenty_code is NA2WCMEOB79520E 2022']"
36,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0618_05082023_0001130665-C001340580-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,80.91407012939453,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOBS6038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
37,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0618_05082023_0001130665-C001340583-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,83.08283996582031,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOB56038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
38,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0618_05082023_0001130665-C001340587-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,86.40870666503906,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOB56038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
39,table,100-match-mod-spaces,,,,,CUR6470-01_0635_05092023_0001131269-C001347366-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,81.18584442138672,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTEMMAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_C INTERAL/ APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
40,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0635_05092023_0001131275-C001347479-00-bottom.tif,Y0020_WCM_106335M_C INTERNAL APPROVED 07292022 NA3WCMLTR21990E_0000,66.27472686767578,,,Y0020_WCM_106335M_C INTERNAL APPROVED 07292022,,,NA3WCMLTR21990E_0000,,,,,"['Tesseract twenty_code is NA3WCMLTR21990E_0000', 'Textract twenty_code is NA3WCMLTR21990E_0000', 'Tesseract app_code is Y0020_WCM_106335M_C INTERNALAPPROVED07292022', 'Textract app_code is Y0020_WCM_106335M_C INTERNALAPPROVED07292022']"
41,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0646_05092023_0001131292-C00013521670-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,61.25625,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOBO00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
