,doc,RegId,RegIdConf,approval_textract,approval_tesseract,approval_table_lookup,twenty_textract,twenty_tesseract,twenty_table_lookup,history
0,,,,,,,,,,
1,CUR6470-01_2765_05122023_0001133275-C001403777-00-bottom.tif,Y0020_WCM 56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,98.32040405273438,,,Y0020_WCM 56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,"['Tesseract app code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty code is NAOWCMEOBS56038E_0000']"
2,CUR6470-01_2765_05122023_0001133275-C001403781-00-bottom.tif,Y0020_WCM _56038EC INTERNAL APPROVED 0 06052020 NA0WCMEOB56038E_0000,68.40135955810547,Y0020_WCM_56038E C INTERNAL APPROVED 06052020,YO020_ WCM _56038EC INTERNAL APPROVED 0 06052020,Y0020_WCM 56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,"['Tesseract app code is YO020_ WCM _56038EC INTERNAL APPROVED 0 06052020', 'Textract app code is Y0020_WCM_56038E C INTERNAL APPROVED 06052020', 'Textract twenty code is NAOWCMEOB560388 0000']"
3,CUR6470-01_2766_05122023_0001133306-C001403901-00-bottom.tif,Y0020 WCM 100186E C INTERNAL APPROVED 07252022 NA3WCMEOBO00186E_0000,97.88953399658203,,,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,,,NA3WCMEOBO00186E_0000,"['Tesseract app code is Y0020_ WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOBO00186E_0000']"
4,CUR6470-01_2766_05122023_0001133312-C001404045-00-bottom.tif,Y0020 WCM 100186E C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,98.51525115966797,,,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020 WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000']"
5,CUR6470-01_2766_05122023_0001133312-C001404050-00-bottom.tif,Y0020 WCM 100186E C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,98.5694351196289,,,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is 0020  WCM_100186E_C INTERNAL APPROVED 0 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
6,CUR6470-01_2766_05122023_0001133318-C001404087-00-bottom.tif,Y0020 WCM 100186E C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,96.47991943359375,,,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000']"
7,CUR6470-01_2766_05122023_0001133318-C001404119-00-bottom.tif,Y0020 WCM 100186E C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,98.3844223022461,,,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000']"
8,CUR6470-01_2766_05122023_0001133321-C001404206-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,86.10958660602516,Y0020_WCM_100186E_CINTERAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is 7 C00140420', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Tesseract app code is 7 C00140420', 'Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERAL APPROVED 07252022']"
9,CUR6470-01_2767_05122023_0001133280-C001404335-00-bottom.tif,Y0020_WCM 56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB6038E_0000,84.7596206665039,,,Y0020_WCM 56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB6038E_0000,"['Tesseract app code is YO020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty code is NAOWCMEOBSE6038E_0000']"
